819827	Razvilka	55.591667	37.740833	RU
524901	Moscow	55.752220	37.615555	RU
2973393	Tarascon	43.805828	4.660280	FR
2986678	Ploufragan	48.491409	-2.794580	FR
683506	Bucharest	44.4323	26.1063	RO
680332	Craiova	44.3167	23.8	RO
681291	Cluj	46.6494	23.8184	RO
2643123	Manchester	53.4809	-2.2374	GB
2643743	London	51.5085	-0.1257	GB
5815135	Washington	47.5001	-120.5015	US
4887398	Chicago	41.85	-87.65	US
4990729	Detroit	42.3314	-83.0458	US
2661552	Bern	46.9481	7.4474	CH
2657896	Zurich	47.3667	8.55	CH
4893591	Geneva	41.8875	-88.3054	US
5134295	Rome	43.2128	-75.4557	US
3173435	Milan	45.4643	9.1895	IT
3172394	Naples	40.8333	14.25	IT
3117735	Madrid	40.4165	-3.7026	ES
3128760	Barcelona	41.3888	2.159	ES
2514256	Málaga	36.7202	-4.4203	ES
2510911	Seville	37.3824	-5.9761	ES
2267057	Lisbon	38.7167	-9.1333	PT
2735943	Porto	41.1496	-8.611	PT
5344157	Dublin	37.7021	-121.9358	US
2964180	Galway	53.2719	-9.0489	IE
2950159	Berlin	52.5244	13.4105	DE
6548737	Leipzig	51.342	12.375	DE
3067696	Prague	50.088	14.4208	CZ
3078610	Brno	49.1952	16.608	CZ
2761369	Vienna	48.2085	16.3721	AT
2766824	Salzburg	47.7994	13.044	AT
756135	Warsaw	52.2298	21.0118	PL
3099434	Gdańsk	54.3521	18.6464	PL
792680	Belgrade	44.804	20.4651	RS
2990440	Nice	43.7031	7.2661	FR
788709	Leskovac	42.9981	21.9461	RS
3193044	Podgorica	42.4411	19.2636	ME
3203106	Budva	42.2864	18.84	ME
264371	Athens	37.9795	23.7162	GR
261604	Kalamata	37.0389	22.1142	GR
686253	Arad	46.3333	21.75	RO
682685	Carei	47.6833	22.4667	RO
2939623	Dachau	48.26	11.434	DE
2825297	Stuttgart	48.7823	9.177	DE
671590	Otopeni	44.55	26.0667	RO
361058	Alexandria	31.2156	29.9553	EG
677106	Giurgiu	43.8833	25.9667	RO
667268	Sibiu	45.8	24.15	RO
683123	Buzau	45.15	26.8333	RO
